Date,Primary Value,Status,pm25,pm10,o3,no2,so2,co
7/10/2022,19,Good,19,14,17,4,2,1
7/9/2022,44,Good,44,14,12,4,2,1
7/8/2022,20,Good,20,16,15,5,2,2
7/7/2022,19,Good,19,10,15,5,1,3
7/6/2022,36,Good,36,7,15,3,0,2
7/5/2022,41,Good,41,15,14,2,0,0
7/4/2022,34,Good,34,14,18,1,0,2
7/3/2022,13,Good,13,13,14,2,0,0
7/2/2022,29,Good,29,12,27,2,0,2
7/1/2022,49,Good,49,16,23,3,1,1
6/30/2022,23,Good,23,25,49,5,2,2
6/29/2022,32,Good,32,16,13,3,1,1
6/28/2022,30,Good,30,12,12,4,2,2
6/27/2022,37,Good,37,12,22,5,2,2
6/26/2022,25,Good,25,15,18,4,2,2
6/25/2022,38,Good,38,11,18,4,1,1
6/24/2022,46,Good,46,16,31,4,2,1
6/23/2022,34,Good,34,15,29,4,2,1
6/22/2022,29,Good,29,14,15,5,2,1
6/21/2022,21,Good,21,16,18,5,2,1
6/20/2022,44,Good,44,15,21,6,2,1
6/19/2022,28,Good,28,17,48,7,14,35
6/18/2022,46,Good,46,16,16,8,1,1
6/17/2022,46,Good,46,14,12,15,1,1
6/16/2022,38,Good,38,13,16,18,2,1
6/15/2022,47,Good,47,13,19,17,2,1
6/14/2022,40,Good,40,19,9,15,2,1
6/13/2022,65,Moderate,65,21,16,13,2,2
6/12/2022,22,Good,22,18,32,12,1,2
